datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
1/13/06,2.13,5211.197338,6.05E-01,3.168976,273.7995264,0.300394077,2006,1,13
1/14/06,12.1,29603.51539,3.44E+00,14.58662,1260.283968,1.382697202,2006,1,14
1/15/06,2.85,6972.728832,8.10E-01,3.99352,345.040128,0.378554383,2006,1,15
1/16/06,2.38,5822.840218,6.76E-01,3.455276,298.5358464,0.327533072,2006,1,16
1/17/06,2.26,5529.251635,6.42E-01,3.317852,286.6624128,0.314506354,2006,1,17
1/18/06,24.6,60185.65939,6.99E+00,28.90162,2497.099968,2.739646959,2006,1,18
1/19/06,4.73,11572.28329,1.34E+00,6.146496,531.0572544,0.582639626,2006,1,19
1/20/06,3.57,8734.260326,1.01E+00,4.818064,416.2807296,0.456714689,2006,1,20
1/21/06,3.19,7804.563149,9.06E-01,4.382888,378.6815232,0.415463416,2006,1,21
1/22/06,2.77,6777.00311,7.87E-01,3.901904,337.1245056,0.369869904,2006,1,22
1/23/06,21.2,51867.31622,6.02E+00,25.00794,2160.686016,2.370556625,2006,1,23
1/24/06,4.3,10520.25754,1.22E+00,5.65406,488.510784,0.535960555,2006,1,24
1/25/06,3.61,8832.123187,1.03E+00,4.863872,420.2385408,0.461056928,2006,1,25
1/26/06,2.44,5969.634509,6.93E-01,3.523988,304.4725632,0.334046431,2006,1,26
1/27/06,2.21,5406.923059,6.28E-01,3.260592,281.7151488,0.309078555,2006,1,27
1/28/06,2.12,5186.731622,6.02E-01,3.157524,272.8100736,0.299308517,2006,1,28
1/29/06,2.92,7143.988838,8.30E-01,4.073684,351.9662976,0.386153301,2006,1,29
1/30/06,2.31,5651.580211,6.56E-01,3.375112,291.6096768,0.319934153,2006,1,30
1/31/06,3.47,8489.603174,9.86E-01,4.703544,406.3862016,0.445859091,2006,1,31
2/1/06,2.02,4942.07447,5.74E-01,3.043004,262.9155456,0.288452919,2006,2,1
2/2/06,1.82,4452.760166,5.17E-01,2.813964,243.1264896,0.266741723,2006,2,2
2/3/06,13.5,33028.71552,3.84E+00,16.1899,1398.80736,1.534675575,2006,2,3
2/4/06,22.2,54313.88774,6.31E+00,26.15314,2259.631296,2.479112605,2006,2,4
2/5/06,8.63,21113.91222,2.45E+00,10.612776,916.9438464,1.00600795,2006,2,5
2/6/06,3.18,7780.097434,9.04E-01,4.371436,377.6920704,0.414377856,2006,2,6
2/7/06,2.56,6263.223091,7.27E-01,3.661412,316.3459968,0.347073148,2006,2,7
2/8/06,2.22,5431.388774,6.31E-01,3.272044,282.7046016,0.310164115,2006,2,8
2/9/06,2.03,4966.540186,5.77E-01,3.054456,263.9049984,0.289538479,2006,2,9
2/10/06,1.96,4795.280179,5.57E-01,2.974292,256.9788288,0.28193956,2006,2,10
2/11/06,2.27,5553.71735,6.45E-01,3.329304,287.6518656,0.315591914,2006,2,11
2/12/06,3.39,8293.877453,9.63E-01,4.611928,398.4705792,0.437174612,2006,2,12
